post_title,seo_page_title,categoryParent,author_name,post_date,imageDesktop650,imageMobile320,categoryChild,post_url,scraped_at
Kapan Kira-Kira Rumble akan Rilis di Wild Rift?,Kapan Kira-Kira Rumble akan Rilis di Wild Rift?,Esports,Taufiq Radityadji,2023-12-02 22:00:00,2023/12/Tanggal-Rilis-Rumble-featured-640x360.jpg,2023/12/Tanggal-Rilis-Rumble-featured-320x180.jpg,Esports Lain,esports/esports-lain/tanggal-rilis-rumble,2023-12-08 16:34:50
Daftar Karakter Genshin Impact yang Ada di Ambang Kematian,Daftar Karakter Genshin Impact yang Ada di Ambang Kematian,Geek,Elang,2023-12-02 21:00:57,2023/12/E-8-640x360.jpg,2023/12/E-8-320x180.jpg,Game,geek/game/daftar-karakter-genshin-impact-kematian,2023-12-08 16:34:50
Tips Jago Main Timbersaw di Dota 2 yang Bisa Ditiru,Tips Jago Main Timbersaw di Dota 2 yang Bisa Ditiru,Esports,LORD,2023-12-02 20:00:04,2023/11/tips-jago-main-timbersaw-featured-640x360.jpg,2023/11/tips-jago-main-timbersaw-featured-320x180.jpg,Dota 2,esports/dota-2/tips-jago-main-timbersaw,2023-12-08 16:34:50
M5: Tienzy Jadi Tombak Fire Flux Saat Berhadapan dengan SMG,M5: Tienzy Jadi Tombak Fire Flux Saat Berhadapan dengan SMG,Esports,Amalia Septiyani,2023-12-02 19:35:28,2023/12/20231202_192619-640x360.jpg,2023/12/20231202_192619-320x180.jpg,Mobile Legends,esports/mobile-legends/m5-tienzy-jadi-tombak-fire-flux-saat-berhadapan-dengan-smg,2023-12-08 16:34:50
Apa Saja Fitur Keren  Game Lies of P? Simak Selengkapnya!,Apa Saja Fitur Keren Game Lies of P? Simak Selengkapnya!,Geek,Dwi Ayu,2023-12-02 19:00:26,2023/11/D-29-640x360.jpg,2023/11/D-29-320x180.jpg,Game,geek/game/apa-saja-fitur-keren-game-lies-of-p-simak-selengkapnya,2023-12-08 16:34:50
Tips Memaksimalkan Senjata Panci di PUBG Mobile!,Tips Memaksimalkan Senjata Panci di PUBG Mobile!,Esports,Elang,2023-12-02 18:00:44,2023/08/E-45-640x360.jpg,2023/08/E-45-320x180.jpg,PUBG Mobile,esports/pubg-mobile/tips-panci-pubg-mobile,2023-12-08 16:34:50
Daftar Karakter Reverse 1999 yang Perlu Di-upgrade Saat Early Game,Daftar Karakter Reverse 1999 yang Perlu Di-upgrade Saat Early Game,Geek,Elang,2023-12-02 17:30:33,2023/12/E-3-640x360.jpg,2023/12/E-3-320x180.jpg,Game,geek/game/daftar-karakter-reverse-1999-yang-perlu-di-upgrade-saat-early-game,2023-12-08 16:34:50
"Tips Rotasi Purgatory FF yang Aman, Pasti Auto Booyah!","Tips Rotasi Purgatory FF yang Aman, Pasti Auto Booyah!",Esports,Retna Kumalasari,2023-12-02 17:00:04,2023/08/featured-33-640x360.jpg,2023/08/featured-33-320x180.jpg,Free Fire,esports/free-fire/tips-rotasi-purgatory-ff-yang-aman,2023-12-08 16:34:50
Lokasi Farming Kalpalata Lotus Genshin Impact? Ini Rutenya!,Lokasi Farming Kalpalata Lotus Genshin Impact? Ini Rutenya!,Geek,Elang,2023-12-02 16:30:37,2023/12/E-5-640x360.jpg,2023/12/E-5-320x180.jpg,Game,geek/game/lokasi-farming-kalpalata-lotus-genshin-impact-ini-rutenya,2023-12-08 16:34:50
Daftar Referensi Karakter Anime di Game Mobile Legends,Daftar Referensi Karakter Anime di Game Mobile Legends,Esports,Elang,2023-12-02 16:00:56,2023/08/E-38-640x360.jpg,2023/08/E-38-320x180.jpg,Mobile Legends,esports/mobile-legends/daftar-referensi-karakter-anime-di-game-mobile-legends,2023-12-08 16:34:50
